date,hospital,icu,ventilator
2020-03-10,26,,
2020-03-11,32,,
2020-03-13,36,,
2020-03-16,55,,
2020-03-18,80,,
2020-03-19,98,,
2020-03-20,133,,
2020-03-22,177,,
2020-03-23,218,,
2020-03-24,239,,
2020-03-25,290,,
2020-03-26,331,,
2020-03-27,380,68,
2020-03-28,442,80,
2020-03-29,513,96,
2020-03-30,571,107,
2020-03-31,596,120,
2020-04-01,656,128,
2020-04-03,704,137,
2020-04-04,738,140,
2020-04-05,702,139,
2020-04-06,829,144,
2020-04-07,828,143,
2020-04-08,837,146,
2020-04-09,838,151,
2020-04-10,825,155,
2020-04-11,856,155,
2020-04-12,853,148,
2020-04-13,868,143,
2020-04-14,868,149,
2020-04-15,881,140,
2020-04-16,856,142,
2020-04-17,852,137,
2020-04-18,811,134,
2020-04-19,816,133,
2020-04-20,820,139,
2020-04-21,774,133,
2020-04-22,778,131,
2020-04-23,742,123,
2020-04-24,745,118,
2020-04-25,736,123,
2020-04-26,758,120,
2020-04-27,771,117,
2020-04-28,753,113,
2020-04-29,760,103,
2020-04-30,736,106,
2020-05-01,740,99,
2020-05-02,705,99,
2020-05-03,684,93,
2020-05-04,672,91,
2020-05-05,680,90,
2020-05-06,657,82,
2020-05-07,614,76,
2020-05-08,585,72,
2020-05-09,539,72,
2020-05-10,539,72,
2020-05-11,555,69,
2020-05-13,486,62,
2020-05-14,459,59,
2020-05-15,419,56,
2020-05-16,386,54,
2020-05-17,395,51,
2020-05-18,386,55,
2020-05-19,368,54,
2020-05-20,367,49,
2020-05-21,315,52,
2020-05-22,316,49,
2020-05-23,303,51,
2020-05-24,304,49,
2020-05-25,305,48,
2020-05-26,287,48,
2020-05-27,263,48,
2020-05-28,231,45,
2020-05-29,197,42,
2020-05-30,173,36,
2020-05-31,184,36,
2020-06-01,176,37,
2020-06-02,194,36,
2020-06-03,166,37,
2020-06-04,154,36,
2020-06-05,139,37,
2020-06-06,122,36,
2020-06-07,125,34,
2020-06-08,122,34,
2020-06-09,110,35,
2020-06-10,102,29,
2020-06-11,89,27,
2020-06-12,79,27,
2020-06-13,76,,
2020-06-14,81,27,
2020-06-15,78,24,
2020-06-16,69,20,
2020-06-17,60,21,
2020-06-18,48,21,
2020-06-19,44,16,
2020-06-20,41,17,
2020-06-22,43,16,
2020-06-23,40,11,
2020-06-24,37,9,
2020-06-25,30,12,
2020-06-26,26,12,
2020-06-27,22,11,
2020-06-28,20,11,
2020-06-29,22,12,
2020-06-30,21,13,
2020-07-01,21,12,
2020-07-02,18,10,
2020-07-03,20,10,
2020-07-04,22,11,
2020-07-05,20,10,
2020-07-06,19,10,
2020-07-07,20,9,
2020-07-08,12,9,
2020-07-09,13,9,
2020-07-10,11,9,
2020-07-11,13,10,
2020-07-12,12,11,
2020-07-13,11,10,
2020-07-14,13,10,
2020-07-15,12,8,
2020-07-16,12,8,
2020-07-17,12,8,
2020-07-18,10,8,
2020-07-19,10,9,
2020-07-20,12,8,
2020-07-21,13,7,
2020-07-23,13,6,
2020-07-24,11,5,
2020-07-25,10,5,
2020-07-26,11,5,
2020-07-27,11,6,
2020-07-28,10,6,
2020-07-29,10,4,
2020-07-30,6,4,
2020-07-31,6,4,
2020-08-01,8,4,
2020-08-02,10,4,
2020-08-03,10,5,
2020-08-04,14,5,
2020-08-05,17,6,
2020-08-06,10,5,
2020-08-07,11,5,
2020-08-08,12,6,
2020-08-09,13,6,
2020-08-10,12,7,
2020-08-11,14,5,
2020-08-12,13,6,
2020-08-13,12,6,
2020-08-14,11,8,
2020-08-15,15,8,
2020-08-16,16,8,
2020-08-17,21,8,
2020-08-18,22,7,
2020-08-19,17,6,
2020-08-20,16,6,
2020-08-23,21,6,
2020-08-24,27,5,
2020-08-25,26,4,
2020-08-26,26,4,
2020-08-27,29,5,
2020-08-28,32,5,
2020-08-29,30,5,
2020-08-30,33,5,
2020-08-31,35,6,
2020-09-01,36,6,
2020-09-02,40,6,
2020-09-03,40,7,
2020-09-04,44,7,
2020-09-05,48,7,
2020-09-06,49,6,
2020-09-07,49,6,
2020-09-08,49,6,
2020-09-09,50,6,
2020-09-10,49,7,
2020-09-11,53,7,
2020-09-12,52,9,
2020-09-13,54,10,
2020-09-14,60,11,
2020-09-15,68,13,
2020-09-16,65,14,
2020-09-17,76,14,
2020-09-18,80,15,
2020-09-19,74,16,
2020-09-20,82,16,
2020-09-21,90,17,
2020-09-22,94,16,
2020-09-23,90,17,
2020-09-24,94,16,
2020-09-25,100,17,
2020-09-26,102,18,
2020-09-27,108,17,
2020-09-28,111,17,
2020-09-29,117,18,
2020-09-30,122,22,
2020-10-01,122,20,
2020-10-02,117,21,
2020-10-03,120,20,
2020-10-04,134,21,
2020-10-05,150,23,
2020-10-06,150,24,
2020-10-07,156,27,
2020-10-08,159,25,
2020-10-09,179,31,
2020-10-10,194,30,
2020-10-11,201,30,
2020-10-12,221,32,
2020-10-13,240,31,
2020-10-14,234,30,
2020-10-15,238,29,
2020-10-16,244,30,
2020-10-17,260,30,
2020-10-18,274,31,
2020-10-19,298,32,
2020-10-20,315,34,
2020-10-21,324,35,
2020-10-22,310,37,
2020-10-23,311,38,
2020-10-24,312,37,
2020-10-25,319,39,
2020-10-26,344,38,
2020-10-27,354,38,
2020-10-28,327,40,
2020-10-29,330,43,
2020-10-30,327,,
2020-10-31,322,,
2020-11-01,324,,
2020-11-02,,,
2020-11-03,307,,
2020-11-04,315,40,
2020-11-05,307,,
2020-11-06,295,,
2020-11-07,279,,
2020-11-08,279,,
